variant,fold_id,method,n_train,n_test,n_train_subjects,n_test_subjects,accuracy,macro_f1,active_macro_f1,nll
full_assist,0,standardized_logreg_smoothed,151200,37800,36,9,0.7305555555555555,0.6511644708034355,0.61250763382603,0.7386961282656497
user_emg_only,0,standardized_logreg_smoothed,151200,37800,36,9,0.5023015873015872,0.08210543030480445,0.021309628377652823,1.735404137398369
assist_prefix_only,0,standardized_logreg_smoothed,151200,37800,36,9,0.5012433862433863,0.08220131939213995,0.02166404922811714,1.7244809121649536
assist_tail_only,0,standardized_logreg_smoothed,151200,37800,36,9,0.6958465608465608,0.600030130548007,0.5646031274573126,0.7828610037958276
metadata_object_context,0,standardized_logreg_smoothed,151200,37800,36,9,0.5,0.06079617030368251,0.00019229844719003894,0.9753132593207329
full_assist_shuffled_tail,0,standardized_logreg_smoothed,151200,37800,36,9,0.5014814814814815,0.08307912864010486,0.022516512045168514,1.7250543382096029
assist_tail_shuffled_only,0,standardized_logreg_smoothed,151200,37800,36,9,0.5,0.0606060606060606,0.0,1.845288071623306
full_assist,1,standardized_logreg_smoothed,151200,37800,36,9,0.6997089947089947,0.6179034738471619,0.5903210463670582,0.8054346775318727
user_emg_only,1,standardized_logreg_smoothed,151200,37800,36,9,0.49272486772486773,0.08822912901547914,0.028515444856115065,1.75714539756173
assist_prefix_only,1,standardized_logreg_smoothed,151200,37800,36,9,0.4911111111111111,0.09078250435779489,0.031319671659070125,1.736182767400864
assist_tail_only,1,standardized_logreg_smoothed,151200,37800,36,9,0.6384126984126984,0.5181935722322504,0.49216265637580575,0.8710364540217506
metadata_object_context,1,standardized_logreg_smoothed,151200,37800,36,9,0.5008201058201058,0.06481656428350098,0.004201117494774479,0.9748396035833858
full_assist_shuffled_tail,1,standardized_logreg_smoothed,151200,37800,36,9,0.4911111111111111,0.09110174246849506,0.031548427224620264,1.7381701925029887
assist_tail_shuffled_only,1,standardized_logreg_smoothed,151200,37800,36,9,0.5,0.0606060606060606,0.0,1.8457393965151585
full_assist,2,standardized_logreg_smoothed,151200,37800,36,9,0.6631216931216931,0.5853272972290633,0.5762391228297483,0.8512884475081206
user_emg_only,2,standardized_logreg_smoothed,151200,37800,36,9,0.5005555555555555,0.07085256139808704,0.010001692477385348,1.7644337964905028
assist_prefix_only,2,standardized_logreg_smoothed,151200,37800,36,9,0.5007671957671957,0.0676483788901139,0.006641104958939,1.7563054486423928
assist_tail_only,2,standardized_logreg_smoothed,151200,37800,36,9,0.6193915343915344,0.5412465840335696,0.5538737460732102,0.8930412169086066
metadata_object_context,2,standardized_logreg_smoothed,151200,37800,36,9,0.4997089947089947,0.06322502743574412,0.002684270616891806,0.9755589954240863
full_assist_shuffled_tail,2,standardized_logreg_smoothed,151200,37800,36,9,0.5010846560846561,0.06882376194838452,0.007794348379879324,1.7570510658072995
assist_tail_shuffled_only,2,standardized_logreg_smoothed,151200,37800,36,9,0.5,0.0606060606060606,0.0,1.845461503351008
full_assist,3,standardized_logreg_smoothed,151200,37800,36,9,0.7175661375661375,0.640311420306091,0.6122299961535301,0.7651975410155218
user_emg_only,3,standardized_logreg_smoothed,151200,37800,36,9,0.49777777777777776,0.08663610930489357,0.025938917226808675,1.7292206308633336
assist_prefix_only,3,standardized_logreg_smoothed,151200,37800,36,9,0.502962962962963,0.09873094316926946,0.03777207601231554,1.717835921727162
assist_tail_only,3,standardized_logreg_smoothed,151200,37800,36,9,0.6585714285714286,0.5395575010722564,0.5058022418079173,0.8230687594347125
metadata_object_context,3,standardized_logreg_smoothed,151200,37800,36,9,0.5003703703703704,0.07541029650220278,0.015145582036603406,0.9751551189614808
full_assist_shuffled_tail,3,standardized_logreg_smoothed,151200,37800,36,9,0.5028042328042328,0.09885948747265859,0.03795731314150538,1.7190323215162224
assist_tail_shuffled_only,3,standardized_logreg_smoothed,151200,37800,36,9,0.5,0.0606060606060606,0.0,1.8450709403599848
full_assist,4,standardized_logreg_smoothed,151200,37800,36,9,0.6046825396825397,0.5254050526286483,0.525191165594205,1.1470117407435783
user_emg_only,4,standardized_logreg_smoothed,151200,37800,36,9,0.4167724867724868,0.09419079336877344,0.043594782336615644,1.9324834296888345
assist_prefix_only,4,standardized_logreg_smoothed,151200,37800,36,9,0.4174603174603175,0.10897921419864195,0.059627218576727266,1.92920531196177
assist_tail_only,4,standardized_logreg_smoothed,151200,37800,36,9,0.6559259259259259,0.5348430171090318,0.4973592499257053,1.002599996532402
metadata_object_context,4,standardized_logreg_smoothed,151200,37800,36,9,0.5001851851851852,0.06278335084638374,0.0021935976938208908,0.9755523014451428
full_assist_shuffled_tail,4,standardized_logreg_smoothed,151200,37800,36,9,0.41653439153439153,0.1112113651559787,0.06189883042335942,1.9480708916130574
assist_tail_shuffled_only,4,standardized_logreg_smoothed,151200,37800,36,9,0.5,0.0606060606060606,0.0,1.8682326916648602
